total_return,total_return_pct,final_value,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_trades,init_cash,short_window,long_window,atr_mult,strategy,entry_window,exit_window,bb_period,bb_std,rsi_period,oversold,overbought,trend_ma,lookback,consec_bars,trail_atr_mult,ma_period,mom_period,min_votes,ema_period,atr_period,entry_period,exit_period,atr_stop_mult,fast,slow,signal,tenkan,kijun,senkou_b,min_agree,tf_short,tf_long,short_ma,long_ma
0.7485002798160882,74.85002798160882,174850.02798160882,1.225723177800636,2.002746250129146,21.238382599544135,46.2962962962963,54,100000.0,,,,AggressiveMom,,,,,,,,,10.0,4.0,3.0,,,,,,,,,,,,,,,,,,,
0.2225708874883903,22.25708874883903,122257.08874883903,1.206965430041615,1.7663395496431602,9.512207920717865,80.0,5,100000.0,,,,RSIExtreme,,,,,14.0,15.0,75.0,200.0,,,,,,,,,,,,,,,,,,,,,,
0.6097496085982864,60.97496085982864,160974.96085982863,1.1516603249178534,1.8737875338997072,17.049008446647452,39.53488372093023,43,100000.0,,,,AggressiveMom,,,,,,,,,20.0,4.0,3.0,,,,,,,,,,,,,,,,,,,
0.8452434938934867,84.52434938934867,184524.34938934867,1.1409223654534695,1.8529472042538395,25.87672382622091,36.0,101,100000.0,,,,MACD_Hist,,,,,,,,100.0,,,,,,,,,,,,8.0,26.0,12.0,,,,,,,,
0.5313439163949213,53.13439163949213,153134.39163949213,1.1337396190512319,1.944084208794101,21.323348812834833,32.0,50,100000.0,,,,AggressiveMom,,,,,,,,,50.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
0.4976504177968754,49.76504177968754,149765.04177968754,1.1241898328288389,1.9517186472650119,18.533192116612607,38.59649122807017,57,100000.0,,,,AggressiveMom,,,,,,,,,10.0,4.0,1.5,,,,,,,,,,,,,,,,,,,
0.4178682978516577,41.78682978516577,141786.82978516578,1.1094028722767315,1.8830952715574933,21.068843869525065,43.75,32,100000.0,,,,Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,200.0,,
0.5685465125119359,56.85465125119359,156854.6512511936,1.104117908929726,1.8079279170929838,23.657575444184758,44.73684210526316,38,100000.0,,,,AggressiveMom,,,,,,,,,50.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
0.7832465152649867,78.32465152649867,178324.65152649867,1.0848045387079925,1.7475340515054223,27.18147971717914,38.70967741935484,94,100000.0,,,,MACD_Hist,,,,,,,,100.0,,,,,,,,,,,,12.0,21.0,12.0,,,,,,,,
0.7748268039978089,77.48268039978089,177482.6803997809,1.0751324181515616,1.725443874320114,27.884954641294325,42.5287356321839,88,100000.0,,,,MACD_Hist,,,,,,,,100.0,,,,,,,,,,,,12.0,26.0,12.0,,,,,,,,
