symbol,event,event_type,impact,date,strategy,total_return,total_return_pct,final_value,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_trades,init_cash
ETH-USDT,ETH Spot ETF 上市,ETF,bullish,2024-07-23,IchiMom_v2,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,ETH Spot ETF 上市,ETF,bullish,2024-07-23,AggrMom,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,ETH Spot ETF 上市,ETF,bullish,2024-07-23,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,日元套利平仓暴跌,MACRO,bearish,2024-08-05,IchiMom_v2,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,日元套利平仓暴跌,MACRO,bearish,2024-08-05,AggrMom,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,日元套利平仓暴跌,MACRO,bearish,2024-08-05,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,美联储首次降息 50bp,MACRO,bullish,2024-09-18,IchiMom_v2,0.01682356920790029,1.682356920790029,101682.35692079003,1.320677343709342,3.564547753229636,2.006581793344219,100.0,1,100000.0
ETH-USDT,美联储首次降息 50bp,MACRO,bullish,2024-09-18,AggrMom,0.01682356920790029,1.682356920790029,101682.35692079003,1.320677343709342,3.564547753229636,2.006581793344219,100.0,1,100000.0
ETH-USDT,美联储首次降息 50bp,MACRO,bullish,2024-09-18,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,Trump 当选,REGULATION,bullish,2024-11-05,IchiMom_v2,-0.06612756837188107,-6.6127568371881065,93387.2431628119,-4.282627095590087,-5.040638999785924,6.6127568371881065,0.0,4,100000.0
ETH-USDT,Trump 当选,REGULATION,bullish,2024-11-05,AggrMom,-0.0314992786946184,-3.1499278694618402,96850.07213053816,-1.800124173473473,-2.353617707339276,5.858083536871854,0.0,5,100000.0
ETH-USDT,Trump 当选,REGULATION,bullish,2024-11-05,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,BTC 突破 100K,PRICE,bullish,2024-12-04,IchiMom_v2,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,BTC 突破 100K,PRICE,bullish,2024-12-04,AggrMom,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,BTC 突破 100K,PRICE,bullish,2024-12-04,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,Trump 就职,REGULATION,bullish,2025-01-20,IchiMom_v2,-0.016792498628014726,-1.6792498628014727,98320.75013719853,-3.4253739845140867,-3.423879248795419,1.6792498628014727,0.0,1,100000.0
ETH-USDT,Trump 就职,REGULATION,bullish,2025-01-20,AggrMom,-0.016792498628014726,-1.6792498628014727,98320.75013719853,-3.4253739845140867,-3.423879248795419,1.6792498628014727,0.0,1,100000.0
ETH-USDT,Trump 就职,REGULATION,bullish,2025-01-20,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,美国战略 BTC 储备,REGULATION,bullish,2025-03-02,IchiMom_v2,-0.02647949140616067,-2.647949140616067,97352.05085938393,-4.161304721144273,-4.1542013914464615,2.647949140616067,0.0,1,100000.0
ETH-USDT,美国战略 BTC 储备,REGULATION,bullish,2025-03-02,AggrMom,-0.02647949140616067,-2.647949140616067,97352.05085938393,-4.161304721144273,-4.1542013914464615,2.647949140616067,0.0,1,100000.0
ETH-USDT,美国战略 BTC 储备,REGULATION,bullish,2025-03-02,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,关税升级恐慌,MACRO,bearish,2025-04-07,IchiMom_v2,-0.01888193704718491,-1.888193704718491,98111.80629528151,-2.8850022514824105,-3.043039021258517,2.127590514891987,0.0,1,100000.0
ETH-USDT,关税升级恐慌,MACRO,bearish,2025-04-07,AggrMom,-0.01888193704718491,-1.888193704718491,98111.80629528151,-2.8850022514824105,-3.043039021258517,2.127590514891987,0.0,1,100000.0
ETH-USDT,关税升级恐慌,MACRO,bearish,2025-04-07,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,美联储暂停降息,MACRO,neutral,2026-01-15,IchiMom_v2,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,美联储暂停降息,MACRO,neutral,2026-01-15,AggrMom,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,美联储暂停降息,MACRO,neutral,2026-01-15,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
