symbol,strategy,total_return,total_return_pct,final_value,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_trades,init_cash
XRP-USDT,TrendMA_Filt,2.286249038275712,228.62490382757122,328624.9038275712,1.2014381239446035,1.802615760883081,48.40404038501562,57.14285714285714,8,100000.0
XRP-USDT,AggressiveMom,0.3748093871839145,37.48093871839145,137480.93871839147,0.8141210565940528,1.3137656859593294,15.041879516206652,48.275862068965516,29,100000.0
XRP-USDT,RSIExtreme,-0.2529504813358339,-25.295048133583393,74704.95186641661,-0.14078282692606,-0.20580445007280782,52.77692166447567,46.666666666666664,16,100000.0
XRP-USDT,MomBreakout,2.0459650242370326,204.59650242370327,304596.50242370326,1.305814080219752,2.0946605560983773,48.40559420796545,24.324324324324326,37,100000.0
XRP-USDT,MeanRevBB,0.0132659967120277,1.32659967120277,101326.59967120277,0.22441656297234505,0.30555521234527044,46.64523895807407,66.07142857142857,56,100000.0
XRP-USDT,Ichimoku,0.6039827645245127,60.39827645245127,160398.27645245127,0.8192653150603313,1.338576892800233,43.81482647866232,26.47058823529412,34,100000.0
XRP-USDT,Keltner,2.421212523321358,242.12125233213578,342121.2523321358,1.3977941827131237,2.339909436315219,38.335061510277306,26.47058823529412,102,100000.0
XRP-USDT,Turtle,2.9753596731868193,297.5359673186819,397535.96731868194,1.7347396257448797,3.130018115581628,28.06054693160674,44.26229508196721,122,100000.0
XRP-USDT,MACD_Hist,0.9305358027033883,93.05358027033883,193053.58027033883,0.9374650615136514,1.558299026799825,46.351099598248204,22.093023255813954,86,100000.0
XRP-USDT,SuperTrend,0.013596804758390063,1.3596804758390064,101359.680475839,0.18185068584499528,0.29204868629826003,48.36887207916414,38.46153846153847,13,100000.0
XRP-USDT,MultiTF,-0.32593349670632715,-32.59334967063271,67406.65032936729,-0.8254291599981065,-1.077435600862834,34.39637917719095,27.27272727272727,23,100000.0
XRP-USDT,MultiFactor,0.6756907401565948,67.56907401565948,167569.07401565948,0.7315571174581545,1.1160453859186528,52.548234057482404,23.333333333333332,61,100000.0
XRP-USDT,Adaptive,-0.0185262397519518,-1.8526239751951799,98147.37602480482,0.08476333376545492,0.11599690071666557,42.14250601506028,63.829787234042556,47,100000.0
XRP-USDT,Router,1.1289727080540304,112.89727080540304,212897.27080540304,1.0291035359989684,1.564438777617225,45.07969829791188,47.91666666666667,48,100000.0
XRP-USDT,Ensemble,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
XRP-USDT,DynSelector,1.2020991407061188,120.20991407061187,220209.91407061188,1.1798855282129534,1.9507574068297253,49.221692870308836,52.38095238095239,42,100000.0
